id,date,day,steps,distance,stairs
285,2016-04-10,Sun,5842,4.1,7
286,2016-04-11,Mon,6072,4.3,1
287,2016-04-12,Tue,14707,10.4,8
288,2016-04-13,Wed,6959,5.2,4
289,2016-04-14,Thu,9600,6.9,7
290,2016-04-15,Fri,932,0.65,0
291,2016-04-16,Sat,44,0.03,0
292,2016-04-17,Sun,90,0.06,0
293,2016-04-18,Mon,9109,6.8,2
294,2016-04-19,Tue,18,0.01,0
295,2016-04-20,Wed,14511,10.7,2
296,2016-04-21,Thu,1134,0.77,0
297,2016-04-22,Fri,2583,1.9,0
298,2016-04-23,Sat,10747,7.6,9
299,2016-04-24,Sun,7905,5.4,5
300,2016-04-25,Mon,3171,2.1,1
301,2016-04-26,Tue,10158,6.9,2
302,2016-04-27,Wed,14294,9.7,2
303,2016-04-28,Thu,12013,8.5,4
304,2016-04-29,Fri,2655,1.8,6
305,2016-04-30,Sat,5641,4.1,0
306,2016-05-01,Sun,7483,5.4,6
307,2016-05-02,Mon,3236,2.3,3
308,2016-05-03,Tue,3071,1.9,12
309,2016-05-04,Wed,6036,4,14
310,2016-05-05,Thu,9730,7.2,3
311,2016-05-06,Fri,8775,5.7,1
312,2016-05-07,Sat,14618,9.7,16
313,2016-05-08,Sun,9871,6.1,1
314,2016-05-09,Mon,6788,5.1,2
315,2016-05-10,Tue,6949,5.1,2
316,2016-05-11,Wed,5588,4.2,4
317,2016-05-12,Thu,3841,2.6,1
318,2016-05-13,Fri,11822,7.6,7
319,2016-05-14,Sat,13,0,0
320,2016-05-15,Sun,4867,3.4,11
321,2016-05-16,Mon,1284,9.3,2
322,2016-05-17,Tue,7292,5.5,5
323,2016-05-18,Wed,7068,5.4,2
324,2016-05-19,Thu,7633,5.7,2
325,2016-05-20,Fri,52,0.03,0
326,2016-05-21,Sat,99,0.07,0
327,2016-05-22,Sun,6217,4.5,18
328,2016-05-23,Mon,5879,4.4,3
329,2016-05-24,Tue,7830,6,2
330,2016-05-25,Wed,8918,6.8,2
331,2016-05-26,Thu,7078,5.3,2
332,2016-05-27,Fri,7259,5.4,4
333,2016-05-28,Sat,8960,6.6,8
334,2016-05-29,Sun,5453,4,6
335,2016-05-30,Mon,8618,6.5,4
336,2016-05-31,Tue,8009,6.1,4
337,2016-06-01,Wed,9656,7.2,2
338,2016-06-02,Thu,11035,8.3,5
339,2016-06-03,Fri,1156,0.86,0
340,2016-06-04,Sat,7270,5.5,0
341,2016-06-05,Sun,5961,4.6,2
342,2016-06-06,Mon,2633,1.9,0
343,2016-06-07,Tue,2616,1.9,0
344,2016-06-08,Wed,0,0,0
345,2016-06-09,Thu,13125,9.9,3
346,2016-06-10,Fri,880,0.65,0
347,2016-06-11,Sat,14751,11.2,5
348,2016-06-12,Sun,6845,4.6,3
349,2016-06-13,Mon,17,0,0
350,2016-06-14,Tue,8038,6.1,0
351,2016-06-15,Wed,13009,9.5,17
352,2016-06-16,Thu,0,0,0
353,2016-06-17,Fri,2324,1.7,3
354,2016-06-18,Sat,7341,5.6,2
355,2016-06-19,Sun,4483,3.2,5
356,2016-06-20,Mon,3843,2.2,0
357,2016-06-21,Tue,2955,2.2,0
358,2016-06-22,Wed,10699,7.5,4
359,2016-06-23,Thu,3087,2.3,10
360,2016-06-24,Fri,6647,5,14
361,2016-06-25,Sat,10064,7.8,2
362,2016-06-26,Sun,2103,1.5,0
363,2016-06-27,Mon,6157,4.4,6
364,2016-06-28,Tue,6910,5.1,11
365,2016-06-29,Wed,6136,4.6,10
366,2016-06-30,Thu,7083,5.4,8
367,2016-07-01,Fri,8981,6.9,7
368,2016-07-02,Sat,3993,3,1
369,2016-07-03,Sun,2954,2.1,4
370,2016-07-04,Mon,5777,4.2,8
371,2016-07-05,Tue,4506,3.3,7
372,2016-07-06,Wed,7982,6,10
373,2016-07-07,Thu,6826,5,8
374,2016-07-08,Fri,5460,3.9,7
375,2016-07-09,Sat,3663,2.7,0
376,2016-07-10,Sun,13,0,0
377,2016-07-11,Mon,5143,3.8,8
378,2016-07-12,Tue,6935,5.3,6
379,2016-07-13,Wed,6053,4.5,9
380,2016-07-14,Thu,4376,3.3,5
381,2016-07-15,Fri,7465,5.7,7
382,2016-07-16,Sat,16,0.01,0
383,2016-07-17,Sun,9795,7.4,12
384,2016-07-18,Mon,5391,4,6
385,2016-07-19,Tue,5475,4.1,6
386,2016-07-20,Wed,5962,3.8,8
387,2016-07-21,Thu,11586,8.7,18
388,2016-07-22,Fri,8148,6,2
389,2016-07-23,Sat,1716,1.2,3
390,2016-07-24,Sun,6483,4.7,4
391,2016-07-25,Mon,11,0,0
392,2016-07-26,Tue,9,0,0
393,2016-07-27,Wed,2218,1.6,3
394,2016-07-28,Thu,3249,2.4,0
395,2016-07-29,Fri,7278,4.5,14
396,2016-07-30,Sat,5950,4.4,4
397,2016-07-31,Sun,10235,7.5,4
398,2016-08-01,Mon,9994,6.5,12
399,2016-08-02,Tue,9517,6.6,24
400,2016-08-03,Wed,0,0,0
401,2016-08-04,Thu,5806,4.5,13
402,2016-08-05,Fri,10295,8.2,2
403,2016-08-06,Sat,8847,6,1
404,2016-08-07,Sun,3932,2.8,6
405,2016-08-08,Mon,44,0.03,0
406,2016-08-09,Tue,6583,5.1,5
407,2016-08-10,Wed,7661,4.6,1
408,2016-08-11,Thu,4262,3.1,0
409,2016-08-12,Fri,2087,1.5,0
410,2016-08-13,Sat,5204,3.9,5
411,2016-08-14,Sun,4267,3.1,6
412,2016-08-15,Mon,7477,4.9,1
413,2016-08-16,Tue,7628,5.6,1
414,2016-08-17,Wed,7487,5.7,1
415,2016-08-18,Thu,7455,4.9,1
416,2016-08-19,Fri,9280,6.3,0
417,2016-08-20,Sat,13098,9.8,6
418,2016-08-21,Sun,11344,8.4,8
419,2016-08-22,Mon,143,0.09,0
420,2016-08-23,Tue,3243,2.4,1
421,2016-08-24,Wed,3776,2.8,5
422,2016-08-25,Thu,13959,10,1
423,2016-08-26,Fri,8352,6.3,9
424,2016-08-27,Sat,2756,1.7,4
425,2016-08-28,Sun,8091,6.1,5
426,2016-08-29,Mon,9057,6.3,4
427,2016-08-30,Tue,4406,3,3
428,2016-08-31,Wed,1047,0.77,1
429,2016-09-01,Thu,4058,3.1,6
430,2016-09-02,Fri,6628,4.7,4
431,2016-09-03,Sat,2600,1.7,0
432,2016-09-04,Sun,11884,9,6
433,2016-09-05,Mon,12513,8.9,0
434,2016-09-06,Tue,5458,3.8,14
435,2016-09-07,Wed,12201,8.8,5
436,2016-09-08,Thu,5592,4,5
437,2016-09-09,Fri,5838,4.4,1
438,2016-09-10,Sat,6571,4.8,12
439,2016-09-11,Sun,5922,4.3,9
440,2016-09-12,Mon,7307,4.8,1
441,2016-09-13,Tue,6877,5,9
442,2016-09-14,Wed,3100,2,0
443,2016-09-15,Thu,9317,6.9,4
444,2016-09-16,Fri,1572,1,2
445,2016-09-17,Sat,1755,1.2,0
446,2016-09-18,Sun,6660,4.8,7
447,2016-09-19,Mon,7725,5,1
448,2016-09-20,Tue,6301,4.6,4
449,2016-09-21,Wed,0,0,0
450,2016-09-22,Thu,8202,5.4,18
451,2016-09-23,Fri,49,0.03,0
452,2016-09-24,Sat,6946,5.2,13
453,2016-09-25,Sun,3807,2.8,5
454,2016-09-26,Mon,25,0.01,0
455,2016-09-27,Tue,10634,7.7,6
456,2016-09-28,Wed,2641,1.9,0
457,2016-09-29,Thu,7511,5.1,4
458,2016-09-30,Fri,14532,10.3,5
459,2016-10-01,Sat,4365,2.8,0
460,2016-10-02,Sun,16121,11.1,10
461,2016-10-03,Mon,544,0.31,0
462,2016-10-04,Tue,8838,6.7,4
463,2016-10-05,Wed,31,0.02,0
464,2016-10-06,Thu,6806,5.1,2
465,2016-10-07,Fri,1788,1.2,2
466,2016-10-08,Sat,8179,5.9,5
467,2016-10-09,Sun,10041,6.2,16
468,2016-10-10,Mon,2232,1.6,1
469,2016-10-11,Tue,10766,7.9,9
470,2016-10-12,Wed,0,0,0
471,2016-10-13,Thu,8033,5.8,7
472,2016-10-14,Fri,2946,2,1
473,2016-10-15,Sat,3929,2.8,1
474,2016-10-16,Sun,4576,3.1,4
475,2016-10-17,Mon,0,0,0
476,2016-10-18,Tue,5751,4.2,6
477,2016-10-19,Wed,0,0,0
478,2016-10-20,Thu,8071,6,6
479,2016-10-21,Fri,9315,6.9,7
480,2016-10-22,Sat,8488,6.3,5
481,2016-10-23,Sun,5406,3.9,9
482,2016-10-24,Mon,5262,3.9,3
483,2016-10-25,Tue,5645,3.8,2
484,2016-10-26,Wed,0,0,0
485,2016-10-27,Thu,14765,10.9,10
486,2016-10-28,Fri,17505,12.2,16
487,2016-10-29,Sat,60,0.03,0
488,2016-10-30,Sun,8461,5.8,10
489,2016-10-31,Mon,0,0,0
490,2016-11-01,Tue,13334,9.8,5
491,2016-11-02,Wed,9,0,0
492,2016-11-03,Thu,7657,5.4,1
493,2016-11-04,Fri,34,0.02,0
494,2016-11-05,Sat,6979,4.6,9
495,2016-11-06,Sun,10708,7.7,16
496,2016-11-07,Mon,4838,3.7,0
497,2016-11-08,Tue,7652,5.5,8
498,2016-11-09,Wed,5238,3.8,14
499,2016-11-10,Thu,8830,6.5,15
500,2016-11-11,Fri,3480,2.6,2
501,2016-11-12,Sat,12180,9.3,4
502,2016-11-13,Sun,4807,3.3,7
503,2016-11-14,Mon,1776,1.2,0
504,2016-11-15,Tue,3927,2.8,2
505,2016-11-16,Wed,5267,3.8,10
506,2016-11-17,Thu,4387,3.2,7
507,2016-11-18,Fri,22717,16.2,11
508,2016-11-19,Sat,511,1.1,0
509,2016-11-20,Sun,4504,2.9,3
510,2016-11-21,Mon,26,0.01,0
511,2016-11-22,Tue,7552,4.9,9
512,2016-11-23,Wed,0,0,0
513,2016-11-24,Thu,7766,5.7,12
514,2016-11-25,Fri,0,0,0
515,2016-11-26,Sat,7163,5.5,5
516,2016-11-27,Sun,5283,3.6,7
517,2016-11-28,Mon,7269,5.2,11
518,2016-11-29,Tue,5060,3.6,5
519,2016-11-30,Wed,4070,2.9,0
520,2016-12-01,Thu,2749,1.7,1
521,2016-12-02,Fri,5902,4,7
522,2016-12-03,Sat,7814,6.2,1
523,2016-12-04,Sun,5415,3.8,8
524,2016-12-05,Mon,18,0,0
525,2016-12-06,Tue,6032,4.1,5
526,2016-12-07,Wed,35,0.02,0
527,2016-12-08,Thu,2625,1.9,5
528,2016-12-09,Fri,0,0,0
529,2016-12-10,Sat,7849,6.1,3
530,2016-12-11,Sun,6640,4.8,3
531,2016-12-12,Mon,40,0.02,0
532,2016-12-13,Tue,7644,5.7,2
533,2016-12-14,Wed,690,0.5,0
534,2016-12-15,Thu,11501,8.5,5
535,2016-12-16,Fri,3833,2.8,7
536,2016-12-17,Sat,4931,3.6,0
537,2016-12-18,Sun,10278,7.6,9
538,2016-12-19,Mon,2745,2.1,3
539,2016-12-20,Tue,3040,2.1,3
540,2016-12-21,Wed,2518,1.8,3
541,2016-12-22,Thu,4212,3,7
542,2016-12-23,Fri,4059,3,3
543,2016-12-24,Sat,3294,2.2,2
544,2016-12-25,Sun,7373,5.1,7
545,2016-12-26,Mon,7095,5.4,4
546,2016-12-27,Tue,7551,5.2,4
547,2016-12-28,Wed,8,0,0
548,2016-12-29,Thu,0,0,0
549,2016-12-30,Fri,16,0.01,0
550,2016-12-31,Sat,3,0.02,0
551,2017-01-01,Sun,3961,2.8,4
552,2017-01-02,Mon,0,0,0
553,2017-01-03,Tue,6751,4.6,2
554,2017-01-04,Wed,11,0,0
555,2017-01-05,Thu,4232,2.9,0
556,2017-01-06,Fri,3283,2.4,1
557,2017-01-07,Sat,4566,3.5,1
558,2017-01-08,Sun,4641,3.3,0
559,2017-01-09,Mon,7271,5.5,3
560,2017-01-10,Tue,9845,7.2,7
561,2017-01-11,Wed,5622,4.1,0
562,2017-01-12,Thu,7433,5.5,1
563,2017-01-13,Fri,47,0.03,0
564,2017-01-14,Sat,0,0,0
565,2017-01-15,Sun,6748,4.6,19
566,2017-01-16,Mon,46,0.02,0
567,2017-01-17,Tue,4042,2.9,7
568,2017-01-18,Wed,1000,0.73,0
569,2017-01-19,Thu,7995,5.7,8
570,2017-01-20,Fri,2862,2.1,5
571,2017-01-21,Sat,0,0,0
572,2017-01-22,Sun,4165,2.8,12
573,2017-01-23,Mon,2635,1.9,4
574,2017-01-24,Tue,6723,4.7,5
575,2017-01-25,Wed,3111,1.9,0
576,2017-01-26,Thu,2981,1.9,0
577,2017-01-27,Fri,0,0,0
578,2017-01-28,Sat,332,0.1,0
579,2017-01-29,Sun,4482,3.3,0
580,2017-01-30,Mon,2177,1.3,0
581,2017-01-31,Tue,8,0,0
582,2017-02-01,Wed,2087,1.4,1
583,2017-02-02,Thu,5302,3.8,0
584,2017-02-03,Fri,4163,3,1
585,2017-02-04,Sat,5100,3.4,9
586,2017-02-05,Sun,5055,3.5,11
587,2017-02-06,Mon,42,0.03,0
588,2017-02-07,Tue,64,0.04,0
589,2017-02-08,Wed,14,0,0
590,2017-02-09,Thu,3804,2.7,7
591,2017-02-10,Fri,6099,4.3,2
592,2017-02-11,Sat,9396,7.2,9
593,2017-02-12,Sun,4608,3.2,11
594,2017-02-13,Mon,35,0.02,0
595,2017-02-14,Tue,6446,4.7,5
596,2017-02-15,Wed,8745,6.1,2
597,2017-02-16,Thu,121,0.08,0
598,2017-02-17,Fri,16750,10.8,14
599,2017-02-18,Sat,7163,5.6,8
600,2017-02-19,Sun,5593,4.1,22
601,2017-02-20,Mon,7201,5.5,9
602,2017-02-21,Tue,5031,3.4,14
603,2017-02-22,Wed,12,0,0
604,2017-02-23,Thu,5252,3.7,17
605,2017-02-24,Fri,26218,18,29
606,2017-02-25,Sat,11077,8.1,25
607,2017-02-26,Sun,4652,3.2,4
608,2017-02-27,Mon,6514,4.7,8
609,2017-02-28,Tue,7476,5.6,6
610,2017-03-01,Wed,736,0.55,0
611,2017-03-02,Thu,2278,1.6,14
612,2017-03-03,Fri,11261,8.8,6
613,2017-03-04,Sat,12000,9.2,5
614,2017-03-05,Sun,7639,5.2,9
615,2017-03-06,Mon,76,0.04,0
616,2017-03-07,Tue,7119,4.6,10
617,2017-03-08,Wed,14,0,0
618,2017-03-09,Thu,5036,3.7,11
619,2017-03-10,Fri,10375,8.3,9
620,2017-03-11,Sat,8140,6.3,10
621,2017-03-12,Sun,5748,4,6
622,2017-03-13,Mon,7297,5.6,2
